Acquisition Date,Company,Business,Country,Price,Used as or integrated with:,Group,ParentCompany
11-Oct-17,60db,Podcasts, United States,0,"Google Play Music, Google Podcasts",Media,Alphabet
11-Jan-18,Redux,Audio, United Kingdom,0,,Misc.,Alphabet
27-Mar-18,Tenor,GIF image search, United States,0,Google Images,Search,Alphabet
09-May-18,Velostrata,Cloud migration, Israel,0,Google Cloud Platform,Productivity,Alphabet
14-May-18,Cask,"Big data, Hadoop", United States,0,Google Cloud Platform,Productivity,Alphabet
06-Aug-18,GraphicsFuzz,GPU reliability, United Kingdom,0,Android,OS,Alphabet
19-Sep-18,Senosis,Health monitoring, United States,0,Nest Labs,Devices,Alphabet
02-Oct-18,Onward,"Machine learning, natural language processing", United States,0,,Misc.,Alphabet
28-Nov-18,Workbench_,Education technology, United States,0,Google Classroom,Productivity,Alphabet
10-Dec-18,Sigmoid Labs,Indian railway tracking, India,40000000,,Misc.,Alphabet
03-Jan-19,Superpod,Question and answer app, United States,60000000,Google Assistant,Search,Alphabet
19-Feb-19,Alooma,"Big data, cloud migration", Israel,0,Google Cloud Platform,Productivity,Alphabet
31-Mar-19,Nightcorn,Video sharing, Germany,0,YouTube,Media,Alphabet
06-Jun-19,Looker,"Big data, analytics", United States,2600000000,Google Cloud Platform,Productivity,Alphabet
09-Jul-19,Elastifile,File storage, United States,0,Google Cloud Platform,Productivity,Alphabet
16-Oct-19,Socratic,Learning apps, United States,0,,Misc.,Alphabet
01-Nov-19,Fitbit,Wearables, United States,2100000000,,,Alphabet
18-Nov-19,CloudSimple,Cloud hosting, United States,0,Google Cloud Platform,Productivity,Alphabet
19-Dec-19,Typhoon Studios,Video game development, Canada,0,Stadia,Media,Alphabet
14-Jan-20,Pointy,Local retail inventory feeds, Ireland,163000000,Google Maps,Search,Alphabet
"April 12, 2011[136]",ITA Software,Travel technology, United States,676000000,Google Flights,Search,Alphabet
